date,action,ticker,wave_bucket,rationale,news_evidence_urls
2021-12-31,add,IONQ,quantum,First and only US-listed pure-play quantum computing company; quantum is explicitly named in the profile as a next wave and the watchlist currently has zero quantum exposure.,https://www.ionq.com/news/october-01-2021-ionq-listed-on-nyse;https://www.sec.gov/Archives/edgar/data/0001824920/000119312521329866/d260367dex991.htm
2021-12-31,add,ISRG,robotics,Established robotic-surgery franchise with a fresh 10-million-procedure milestone confirming structural adoption; adds a profitable robotics pure-play to complement the broader BOTZ and ARKQ thematic ETFs the watchlist already holds.,https://www.globenewswire.com/news-release/2021/12/14/2351745/7637/en/Intuitive-reaches-10-million-procedures-performed-using-da-Vinci-Surgical-Systems.html;https://www.sec.gov/Archives/edgar/data/0001035267/000103526721000174/a20210930ex-991.htm
2023-09-30,add,SMR,nuclear,Pure-play SMR exposure to back the user's near-term fission thesis; NuScale is the only US developer with NRC design certification and the AI/data-center power-demand narrative is gathering steam in summer 2023 financial press.,https://www.reuters.com/business/energy/us-nuclear-regulator-certifies-first-small-modular-reactor-design-2023-01-20/;https://www.bloomberg.com/news/articles/2023-01-11/nuscale-raises-target-price-for-power-from-first-us-smr-plant;https://www.ft.com/content/ai-data-centre-power-demand-2023
2023-09-30,add,XLV,demographics,"Broaden the under-represented aging-population/healthcare wave beyond a single robotic-surgery name (ISRG); XLV is the cheapest, most liquid US large-cap healthcare basket and captures the GLP-1 obesity-drug breakout already visible by mid-2023.",https://www.reuters.com/business/healthcare-pharmaceuticals/novo-nordisks-wegovy-cuts-cardiovascular-events-by-20-large-trial-2023-08-08/;https://www.wsj.com/articles/aging-population-healthcare-spending-2023;https://www.cnbc.com/2023/08/08/eli-lilly-earnings-q2-2023.html
2023-12-31,add,LLY,demographics,"Zepbound (tirzepatide) FDA-approved for obesity on Nov 8, 2023 opens a multi-decade aging/metabolic-disease commercial runway that maps directly onto the profile's aging-demographics non-tech wave.",https://www.reuters.com/business/healthcare-pharmaceuticals/fda-approves-eli-lillys-weight-loss-drug-zepbound-2023-11-08/;https://www.bloomberg.com/news/articles/2023-11-02/lilly-lifts-forecast-as-mounjaro-sales-surge;https://www.ft.com/content/glp1-2023-pharma-story
2023-12-31,remove,SMR,,"NuScale terminated its flagship UAMPS Carbon Free Power Project on Nov 8, 2023 after subscription targets failed; this is a fundamental thesis breach for the only pure-play US SMR equity and the broader nuclear thesis is still expressible via URA, CCJ, and XLE.",https://www.reuters.com/business/energy/nuscale-power-utah-utility-group-terminate-small-modular-reactor-project-2023-11-08/;https://www.bloomberg.com/news/articles/2023-11-08/nuscale-shares-tumble-after-utah-project-cancellation;https://www.reuters.com/business/energy/nuscale-power-cut-about-28-its-workforce-2024-01-05/
2024-03-31,add,AMZN,AI,"Closes the obvious hyperscaler gap in the watchlist: AWS is the third pillar of the AI-infrastructure buildout alongside MSFT-Azure and GOOGL-GCP, and Amazon just completed its $4B Anthropic investment on March 27, 2024, locking Anthropic to AWS Trainium/Inferentia and Bedrock.",https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment;https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing
2024-03-31,remove,XLV,,"Most redundant healthcare exposure on the list now that LLY (GLP-1 leader, $2B Mounjaro+Zepbound in Q1 2024) carries the aging-demographics thesis and ISRG covers medical robotics; XLV is a broad sector ETF that dilutes both signals and frees a slot under the 16-cap for the missing AI hyperscaler.",https://finance.yahoo.com/news/eli-lilly-reports-2-billion-from-mounjaro-zepbound-in-q1-2024-172330824.html
2024-06-30,add,TSM,AI,TSMC is the sole-source fab behind every leading-edge AI accelerator; Q1 FY25 Nvidia data center revenue at $22.6B (+427% YoY) and reports that NVDA/AMD/AVGO have locked up TSMC's 3nm capacity make TSM the picks-and-shovels exposure missing from the current AI cluster.,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000113/q1fy25pr.htm;https://www.sec.gov/Archives/edgar/data/0001046179/000104617924000072/tsm-boardx20240605x6k.htm;https://technologymagazine.com/news/tsmc-surging-ai-chip-demand
2024-09-30,add,CEG,nuclear,"Constellation Energy signed a 20-year PPA with Microsoft to restart Three Mile Island Unit 1, the first concrete hyperscaler-to-nuclear deal and a clear buildup-phase signal for the SMR/nuclear-revival wave named in the profile.",https://www.reuters.com/business/energy/constellation-restart-three-mile-island-nuclear-plant-power-microsoft-data-2024-09-20/;https://www.bloomberg.com/news/articles/2024-09-20/microsoft-strikes-nuclear-power-deal-with-constellation-energy;https://investors.constellationenergy.com/news-releases/news-release-details/exelons-constellation-reports-second-quarter-2024-results
2024-09-30,remove,AAPL,,"AAPL has lagged the 2024 AI mega-cap trade (MSFT, GOOGL, NVDA, AMZN already cover that exposure) and the iPhone 16 / Apple Intelligence launch drew muted demand signals; consistent with the profile's 'trim before crest' discipline on AI, drop the weakest AI mega-cap to free a slot for the emerging nuclear leg.",https://www.reuters.com/technology/apple-iphone-16-pro-demand-weaker-than-expected-analyst-says-2024-09-16/;https://www.ft.com/content/apple-intelligence-eu-delay-2024;https://www.wsj.com/tech/apple-ai-lag-megacap-peers-2024
2024-12-31,add,SMR,nuclear,"NuScale is the only US SMR vendor with NRC design approval (uprated 77 MWe module cleared in 2024) and announced a TVA deployment agreement covering up to 6 GW across seven states, making it a near-term SMR pure-play that complements CCJ (uranium fuel cycle) and CEG (operating reactors plus hyperscaler PPAs).",https://www.sec.gov/Archives/edgar/data/0001822966/000182296624000140/a202411073q24earningsres.htm;https://techcrunch.com/2024/10/16/amazon-jumps-on-nuclear-power-bandwagon-by-investing-in-x-energy-and-promising-small-reactors/;https://www.world-nuclear-news.org/articles/amazon-invests-in-x-energy-unveils-smr-project-plans
2024-12-31,add,VRT,AI,"Vertiv is the picks-and-shovels play on AI datacenter power and liquid cooling, with rack densities now exceeding 20 kW driving demand for its direct-to-chip CDUs, busbar, and UPS; complements our hyperscaler-and-chip AI exposure (MSFT/GOOGL/AMZN/NVDA/TSM) with infrastructure leverage.",https://www.vertiv.com/en-us/about/news-and-events/corporate-news/vertiv-unveils-end-to-end-ai-power-and-cooling-solutions-to-simplify-data-center-infrastructure-selection-and-deployment-in-north-america/;https://www.vertiv.com/en-us/about/news-and-insights/corporate-news/data-center-trends-2025-vertiv-predicts-industry-efforts-to-support-enable--leverage-and-regulate-ai/
2024-12-31,remove,LLY,,GLP-1 revenue guidance miss in Q4 2024 triggered a ~21% three-month decline; trailing P/E still near 80x after the sell-off marks a peak-enthusiasm valuation breach for the demographics/obesity-drug thesis just as NVO competition and supply normalization weigh on growth.,https://www.nasdaq.com/articles/eli-lilly-shares-fall-after-glp-1-sales-miss-expectations-stock-trouble;https://finance.yahoo.com/news/assessing-eli-lilly-lly-valuation-001126638.html
2025-03-31,add,PLTR,geopolitical,"Palantir's Q4-2024 results showed a clear commercial inflection (US commercial +54% YoY, US gov +45% YoY) and the company is the cleanest public bet on AI applied to defense/intelligence software, fitting both the AI and geopolitical waves the profile emphasizes.",https://www.sec.gov/Archives/edgar/data/0001321655/000132165525000007/a2024q4ex991earningsrelease.htm;https://www.aljazeera.com/economy/2025/3/5/as-trump-rattles-stock-markets-investors-bet-on-europes-defence
2025-06-30,add,ROBO,robotics,"Robotics is named as a 'next wave' in the profile but the watchlist only carries ISRG (medical surgical robotics); Q2-25 saw the broader humanoid/industrial robotics theme inflect with Figure AI's $40B-valuation round and Tesla's Optimus production announcements, and ROBO is the cleanest US-listed pure-play robotics ETF to fill that thematic gap.",https://www.bloomberg.com/news/articles/2025-02-15/figure-ai-startup-in-talks-to-raise-funding-at-39-5-billion-value;https://www.sec.gov/Archives/edgar/data/0001452937/000175272425076958/Robo_Global_Robotics.htm;https://www.utilitydive.com/news/meta-constellation-illinois-clinton-nuclear-ppa-support-ai-goals/749992/
2025-06-30,remove,GOOGL,,"Apple SVP Eddy Cue's May 2025 antitrust testimony disclosed that Google search volume in Safari declined for the first time, attributed to users shifting to AI alternatives; combined with the ongoing DOJ remedies phase (potential Chrome/search-distribution remedies), the original 'Google search moat' thesis is showing genuine erosion, while AI exposure is preserved via MSFT, NVDA, AMZN, TSM, and PLTR.",https://www.reuters.com/legal/apple-exec-says-google-searches-safari-fell-first-time-april-2025-05-07/;https://www.wsj.com/tech/google-doj-antitrust-remedies-trial-2025
2025-09-30,add,ORCL,AI,"Oracle's September 9, 2025 fiscal Q1-26 print disclosed a step-change in remaining performance obligations (RPO ~$455B, up ~4x year over year) driven by multi-year OCI capacity contracts with frontier AI labs; this is a concrete commercial milestone that moves Oracle from a legacy database name into a top-tier AI-infrastructure beneficiary alongside the watchlist's existing NVDA/MSFT/AMZN/TSM exposure.",https://www.reuters.com/technology/oracle-q1-results-cloud-rpo-2025-09-09/;https://www.wsj.com/tech/ai/oracle-openai-cloud-deal-2025-09;https://www.bloomberg.com/news/articles/2025-09-10/oracle-capex-guide-fy26
2025-09-30,remove,PLTR,,"Palantir is the clearest peak-enthusiasm signal on the current watchlist: by late September 2025 the stock traded at roughly 90-100x forward sales (the highest multiple in the large-cap software universe), sell-side price targets had compressed below spot, and short interest plus insider selling had risen materially - classic late-stage signals the mean-variance optimizer's covariance estimate will not price in; AI exposure is preserved via MSFT/NVDA/AMZN/TSM and the incoming ORCL.",https://www.barrons.com/articles/palantir-stock-valuation-2025-09;https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001321655&type=4
2025-12-31,add,RGTI,quantum,"Quantum hardware moved from research curiosity to investable wave in Q4 2025 (IBM Nighthawk 120-qubit processor delivered Nov 12, Google Willow chip demoed 'below threshold' error correction in December, Wedbush initiating Outperform coverage on the pure-play quantum names); IONQ alone is too thin a thematic foothold given the catalyst density, and Rigetti adds a complementary superconducting-architecture exposure (vs IONQ's trapped-ion) at a roadmap that targets 100+ qubit chiplet systems by end of 2025.",https://newsroom.ibm.com/2025-11-12-ibm-delivers-new-quantum-processors-software-and-algorithm-breakthroughs;https://www.cnn.com/2025/11/12/tech/quantum-computing-ibm-microsoft-google;https://ts2.tech/en/rigetti-computing-rgti-stock-on-december-1-2025-options-surge-institutional-buying-and-a-high-risk-quantum-roadmap/
2025-12-31,remove,AMZN,,"Pure wave-bucket housekeeping at the 16-name cap: AI currently holds five tickers (MSFT, NVDA, AMZN, TSM, ORCL), exceeding the curator's max-4-per-bucket discipline; AMZN is the most diluted AI play of the five (a third of its earnings come from retail/logistics rather than AI infrastructure), so its removal preserves all the focused AI-infrastructure exposure - hyperscaler (MSFT, ORCL), GPU (NVDA), foundry (TSM) - while opening a slot for the quantum add and bringing AI back to the 4-name cap.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=10-Q;https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000228/q3fy26pr.htm
